Fecha,Empresa,Tipo,Número Desde,Neto Gravado,Neto No Gravado,Op. Exentas,IVA,Neto,Imp. Total,Mes,Razon Social
01/08/2025,Aspee Monee Srl,Facturas A,414,100000,0,0,21000,100000,121000,2025-08,BA Comex
07/08/2025,Aspee Monee Srl,Facturas A,415,1200000,0,0,252000,1200000,1452000,2025-08,BA Comex
11/08/2025,Luial S A,Facturas A,416,660229,0,0,138648,660229,798877,2025-08,BA Comex
14/08/2025,Novelty Trend S.R.L.,Facturas A,417,696743,0,0,146316,696743,843059,2025-08,BA Comex
18/08/2025,Mercovan Argentina S.A.,Facturas A,420,1960000,0,0,411600,1960000,2371600,2025-08,BA Comex
18/08/2025,Alsina Motos Srl,Facturas A,418,2445914,0,0,513642,2445914,2959556,2025-08,BA Comex
18/08/2025,Alsina Motos Srl,Facturas A,419,976786,0,0,205125,976786,1181911,2025-08,BA Comex
18/08/2025,Edelweiss Spedition Srl,Facturas A,421,360000,0,0,75600,360000,435600,2025-08,BA Comex
19/08/2025,Fedtex,Facturas A,423,80000,0,0,16800,80000,96800,2025-08,BA Comex
19/08/2025,Aspee Monee Srl,Facturas A,422,300000,0,0,63000,300000,363000,2025-08,BA Comex
20/08/2025,Aspee Monee Srl,Facturas A,424,150000,0,0,31500,150000,181500,2025-08,BA Comex
22/08/2025,Luial S A,Facturas A,425,648373,0,0,136158,648373,784531,2025-08,BA Comex
26/08/2025,Jupam Sa,Facturas A,427,767677,0,0,161212,767677,928889,2025-08,BA Comex
26/08/2025,Luial S A,Facturas A,428,646718,0,0,135811,646718,782528,2025-08,BA Comex
26/08/2025,Aspee Monee Srl,Facturas A,426,1050000,0,0,220500,1050000,1270500,2025-08,BA Comex
28/08/2025,Aspee Monee Srl,Facturas A,429,300000,0,0,63000,300000,363000,2025-08,BA Comex
12/08/2025,Sanatorio Modelo S A,Facturas A,79,0,0,15133824,0,15133824,15133824,2025-08,De la Arena Martin
13/08/2025,Obra Social De Petroleros O S Pe,Facturas A,80,0,0,1465602,0,1465602,1465602,2025-08,De la Arena Martin
13/08/2025,Instituto De Obra Social De Las Fuerzas Armadas (Iosfa),Facturas B,60,0,0,4238432,0,4238432,4238432,2025-08,De la Arena Martin
21/08/2025,Osde Organizacion De Servicios Directos Empresarios,Facturas A,82,0,0,1690000,0,1690000,1690000,2025-08,De la Arena Martin
21/08/2025,Osde Organizacion De Servicios Directos Empresarios,Facturas A,83,1784795,0,1444704,187404,3229499,3416903,2025-08,De la Arena Martin
21/08/2025,Osde Organizacion De Servicios Directos Empresarios,Facturas A,84,1656004,0,1926272,173880,3582276,3756156,2025-08,De la Arena Martin
21/08/2025,Osde Organizacion De Servicios Directos Empresarios,Facturas A,81,0,0,1690000,0,1690000,1690000,2025-08,De la Arena Martin
21/08/2025,Osde Organizacion De Servicios Directos Empresarios,Notas De Credito A,6,0,0,-1690000,0,-1690000,-1690000,2025-08,De la Arena Martin
01/08/2025,Santana Textil Chaco Sa,Facturas A,26612,71203,0,0,14953,71203,86155,2025-08,Deposito Avellaneda Sur
01/08/2025,Global Rover Logistic Srl,Facturas A,26607,1621800,0,0,340578,1621800,1962378,2025-08,Deposito Avellaneda Sur
