Fecha,Empresa,Tipo,Número Desde,Neto Gravado,Neto No Gravado,Op. Exentas,IVA,Neto,Imp. Total,Mes,Razon Social
02/01/2025,Mymtec Sa,Facturas A,11044,94738,0,0,19895,94738,114632,2025-01,BA Comex
02/01/2025,Lakaut S.A.,Facturas A,2823354,36540,0,0,7673,36540,45310,2025-01,BA Comex
02/01/2025,Mymtec Sa,Facturas A,40318,233681,0,0,49073,233681,282754,2025-01,BA Comex
02/01/2025,Soluciones Online Sa,Facturas A,393312,86900,0,0,18249,86900,105149,2025-01,BA Comex
03/01/2025,Deheza Sociedad Anonima Industrial Comercial Financiera Inmobiliaria,Facturas A,98830,62203,0,0,13063,62203,91092,2025-01,BA Comex
06/01/2025,Telecentro S A,Facturas A,3137109,66820,0,0,14032,66820,84861,2025-01,BA Comex
08/01/2025,Aranda Luis Alberto,Facturas A,2490,105400,0,0,22134,105400,127534,2025-01,BA Comex
09/01/2025,Lakaut S.A.,Facturas A,2830283,18567,0,0,3899,18567,23023,2025-01,BA Comex
10/01/2025,Lakaut S.A.,Facturas A,2830664,18639,0,0,3914,18639,23112,2025-01,BA Comex
15/01/2025,Fitograf Srl,Facturas A,10294,74431,0,0,15631,74431,90062,2025-01,BA Comex
16/01/2025,Lakaut S.A.,Facturas A,2836292,18387,0,0,3861,18387,22800,2025-01,BA Comex
18/01/2025,Lakaut S.A.,Facturas A,2837983,18720,0,0,3931,18720,23213,2025-01,BA Comex
18/01/2025,Deheza Sociedad Anonima Industrial Comercial Financiera Inmobiliaria,Facturas A,99586,62198,0,0,13062,62198,91085,2025-01,BA Comex
20/01/2025,Ediciones Iara Sa,Facturas C,4417,0,487500,0,0,487500,487500,2025-01,BA Comex
22/01/2025,Lakaut S.A.,Facturas A,2841244,37305,0,0,7834,37305,46258,2025-01,BA Comex
22/01/2025,Lakaut S.A.,Facturas A,2841464,18639,0,0,3914,18639,23112,2025-01,BA Comex
22/01/2025,Lakaut S.A.,Facturas A,2841168,18405,0,0,3865,18405,22822,2025-01,BA Comex
24/01/2025,Lakaut S.A.,Facturas A,2843315,18720,0,0,3931,18720,23213,2025-01,BA Comex
