Sociedad,Ventas Netas,Compras Netas,Saldo IVA,II.BB.,Cargas Soc.,Deuda Total
BA Comex,7629878,1551876,-1276393,0,1286711,4020048
De la Arena Coll Manuel,0,86259,18112,0,0,4020048
Deposito Avellaneda Sur,707189450,387539673,-70108686,32672859,22044506,15736257
Edelweiss Spedition,19935646,39035765,6893054,626412,0,830688
El Llamito,34950000,0,-7339500,1747500,0,19444032
El Marques,26305258,10002652,-3423546,1310383,0,0
Jofa,0,164729318,28819474,0,10260855,37256557
L A R M Argentina,38007926,5587729,-2546575,1389056,4341021,85370
Liftvan International,573312522,179669827,-4462602,17745341,28419590,0
Mercovan Argentina,118098815,65758636,-4721004,4004093,20130190,466
Nerococina,10310037,4427051,-1494316,0,315345,0
U-Bros,13810257,1588002,-2566675,521820,1021311,0
Ulog,7739760,5262,-1624244,138472,197088,878877
Unapa,0,6286967,1320262,0,384390,0
Viñas En Flor,114670334,24255976,-19763067,5160165,8779802,43050959
Winehaus,0,0,0,0,40544,6459621
