Razon Social,Mes,Neto Gravado,Neto No Gravado,Op. Exentas,Neto,IVA,Imp. Total
Aires del Sur,2025-06,143325,0,709275,852600,30098,882698
Aires del Sur,2025-07,1372232,0,12435675,13807907,288170,14096077
Aires del Sur,2025-08,6641545,0,16650843,23292388,1394723,24687112
BA Comex,2024-01,7895712,0,0,7895712,1658101,9553811
BA Comex,2024-02,9302727,0,0,9302727,1953571,11256299
BA Comex,2024-03,2752646,0,0,2752646,578054,3330701
BA Comex,2024-04,3826668,0,0,3826668,803599,4630268
BA Comex,2024-05,6084744,0,0,6084744,1277796,7362540
BA Comex,2024-06,1069195,0,0,1069195,224531,1293726
BA Comex,2024-07,1244973,0,0,1244973,261444,1506417
BA Comex,2024-08,5245858,0,0,5245858,1101630,6347487
BA Comex,2024-09,7488936,0,0,7488936,1572675,9061612
BA Comex,2024-10,3965960,0,0,3965960,832852,4798812
BA Comex,2024-11,13815058,0,0,13815058,2901163,16716219
BA Comex,2024-12,10233107,0,0,10233107,2148953,12382063
BA Comex,2025-01,12366339,0,0,12366339,2596931,14963269
BA Comex,2025-02,16700153,0,0,16700153,3507030,20207185
BA Comex,2025-03,9665928,0,0,9665928,2029844,11695770
BA Comex,2025-04,7629878,0,0,7629878,1602274,9232153
BA Comex,2025-05,15890050,0,0,15890050,3336908,19226957
BA Comex,2025-06,15629290,0,0,15629290,3282151,18911441
BA Comex,2025-07,16725025,0,0,16725025,3512255,20237280
BA Comex,2025-08,12342440,0,0,12342440,2591912,14934351
De la Arena Coll Manuel,2024-01,0,900000,0,900000,0,900000
De la Arena Coll Manuel,2024-02,0,1900000,0,1900000,0,1900000
De la Arena Coll Manuel,2024-03,0,1000000,0,1000000,0,1000000
De la Arena Coll Manuel,2024-04,0,2000000,0,2000000,0,2000000
De la Arena Coll Manuel,2024-05,0,2000000,0,2000000,0,2000000
De la Arena Coll Manuel,2024-06,0,2000000,0,2000000,0,2000000
De la Arena Coll Manuel,2024-07,0,2500000,0,2500000,0,2500000
De la Arena Coll Manuel,2024-08,0,2500000,0,2500000,0,2500000
De la Arena Coll Manuel,2024-09,0,197120,0,197120,0,197120
De la Arena Coll Manuel,2025-01,0,3500000,0,3500000,0,3500000
De la Arena Coll Manuel,2025-02,0,4000000,0,4000000,0,4000000
De la Arena Coll Manuel,2025-03,0,4000000,0,4000000,0,4000000
De la Arena Coll Manuel,2025-04,0,4000000,0,4000000,0,4000000
De la Arena Coll Manuel,2025-05,0,4338500,0,4338500,0,4338500
De la Arena Coll Manuel,2025-06,0,6164500,0,6164500,0,6162500
De la Arena Coll Manuel,2025-07,0,4338500,0,4338500,0,4338500
De la Arena Martin,2024-01,1241257,0,2391964,3633221,130332,3763553
De la Arena Martin,2024-02,0,0,1615310,1615310,0,1615310
De la Arena Martin,2024-03,0,0,817001,817001,0,817001
De la Arena Martin,2024-04,0,0,927001,927001,0,927001
De la Arena Martin,2024-06,1981846,0,8570716,10552562,208094,10760655
De la Arena Martin,2024-07,463939,0,6880620,7344559,48714,7393273
De la Arena Martin,2024-08,0,0,6648240,6648240,0,6648240
De la Arena Martin,2024-09,63851131,0,4579059,68430190,13299411,81729601
De la Arena Martin,2024-10,1000560,0,997170,1997730,105059,2102789
De la Arena Martin,2024-11,0,0,1818644,1818644,0,1818644
De la Arena Martin,2024-12,0,0,68159962,68159962,0,68159962
De la Arena Martin,2025-01,4827637,0,6242611,11070248,506902,11577150
De la Arena Martin,2025-02,0,0,24438382,24438382,0,24438382
De la Arena Martin,2025-03,19215839,0,3651244,22867083,2017663,24884745
De la Arena Martin,2025-04,2879871,0,16515801,19395672,302386,19698059
De la Arena Martin,2025-05,1179804,0,10754517,11934321,123879,12058200
De la Arena Martin,2025-06,6236730,0,14187538,20424268,654857,21079125
De la Arena Martin,2025-07,0,0,3641712,3641712,0,3641712
De la Arena Martin,2025-08,3440799,0,25898834,29339633,361284,29700917
Deposito Avellaneda Sur,2024-01,428272594,8783142,0,437055736,89937250,526992990
Deposito Avellaneda Sur,2024-02,331950191,9066320,0,341016511,69709546,410726060
Deposito Avellaneda Sur,2024-03,533420204,28749301,-196000,561973505,112039755,674013260
Deposito Avellaneda Sur,2024-04,311048522,26150109,0,337198631,65320189,402518819
Deposito Avellaneda Sur,2024-05,599002849,66039824,0,665042673,125790609,790833284
Deposito Avellaneda Sur,2024-06,351828230,1872717,0,353700947,73883938,427584883
Deposito Avellaneda Sur,2024-07,452476439,17034410,0,469510849,95020054,564530909
Deposito Avellaneda Sur,2024-08,318207370,3604927,0,321812297,66823543,388635842
Deposito Avellaneda Sur,2024-09,374524244,4857677,0,379381921,78650096,458032018
Deposito Avellaneda Sur,2024-10,439517995,4823961,0,444341956,92298785,536640738
Deposito Avellaneda Sur,2024-11,312685459,14221442,0,326906901,65663951,392570849
Deposito Avellaneda Sur,2024-12,416694834,18758644,0,435453478,87505912,522959387
Deposito Avellaneda Sur,2025-01,427729555,7358288,0,435087843,89823215,524911052
Deposito Avellaneda Sur,2025-02,424409750,16341690,0,440751440,89126039,529877481
Deposito Avellaneda Sur,2025-03,511376939,27740082,0,539117021,107389158,646506192
Deposito Avellaneda Sur,2025-04,655294566,1946214,0,657240780,137611860,794852645
Deposito Avellaneda Sur,2025-05,510271542,25309622,0,535581164,107157026,642738193
Deposito Avellaneda Sur,2025-06,428978503,20822423,0,449800926,90085491,539886417
Deposito Avellaneda Sur,2025-07,653777305,38176080,0,691953385,137293234,829246630
Deposito Avellaneda Sur,2025-08,622375726,4725632,0,627101358,130698913,757800273
Edelweiss Spedition,2024-01,167964,0,6149,174113,35273,209386
Edelweiss Spedition,2024-02,171139,0,4747073,4918212,35939,4954151
Edelweiss Spedition,2024-03,327814,0,5408418,5736232,68841,5805073
Edelweiss Spedition,2024-04,1052409,0,2021098,3073507,221007,3294514
Edelweiss Spedition,2024-05,177567,0,11141367,11318934,37289,11356223
Edelweiss Spedition,2024-06,168404,0,0,168404,35366,203770
Edelweiss Spedition,2024-07,173779,0,4410,178189,36494,214683
Edelweiss Spedition,2024-08,11309348,0,2488208,13797556,2374963,16172519
Edelweiss Spedition,2024-09,1434141,0,2271398,3705539,301170,4006709
Edelweiss Spedition,2024-10,8955482,0,3498300,12453782,1880651,14334433
Edelweiss Spedition,2024-11,2342560,0,6700,2349260,491938,2841198
Edelweiss Spedition,2024-12,238326,7300,8307370,8552996,50047,8603045
Edelweiss Spedition,2025-01,784168,1850,9260,795278,164675,959953
Edelweiss Spedition,2025-02,1977958,1242,18611005,20590205,415371,21005576
Edelweiss Spedition,2025-03,2179622,0,6003619,8183241,457720,8640962
Edelweiss Spedition,2025-04,231671,0,20291784,20523455,48650,20572105
Edelweiss Spedition,2025-05,241548,3163139,42019425,45424112,50724,45474836
Edelweiss Spedition,2025-06,787582,14742,5599856,6402180,165392,6567571
Edelweiss Spedition,2025-07,1114769,8452,4976401,6099622,234100,6333722
Edelweiss Spedition,2025-08,1888492,250,14746,1903488,396583,2300071
El Llamito,2024-01,15000,0,0,15000,3150,18150
El Llamito,2024-02,15000,0,0,15000,3150,18150
El Llamito,2024-03,15000,0,0,15000,3150,18150
El Llamito,2024-04,15000,0,0,15000,3150,18150
El Llamito,2024-05,15000,0,0,15000,3150,18150
El Llamito,2024-06,15000,0,0,15000,3150,18150
El Llamito,2024-07,215000,0,0,215000,45150,260150
El Llamito,2024-08,15000,0,0,15000,3150,18150
El Llamito,2024-09,75000,0,0,75000,15750,90750
El Llamito,2024-11,30000,0,0,30000,6300,36300
El Llamito,2024-12,15000,0,0,15000,3150,18150
El Llamito,2025-01,15000,0,0,15000,3150,18150
El Llamito,2025-02,20000,0,0,20000,4200,24200
El Llamito,2025-03,20000,0,0,20000,4200,24200
El Llamito,2025-04,30000,0,0,30000,6300,36300
El Llamito,2025-05,30000,0,0,30000,6300,36300
El Llamito,2025-06,20000,0,0,20000,4200,24200
El Llamito,2025-07,30000,0,0,30000,6300,36300
El Llamito,2025-08,0,12000,0,12000,0,12000
El Marques,2024-01,14035787,0,0,14035787,2947516,16983303
El Marques,2024-02,14954624,0,0,14954624,3140471,18095095
El Marques,2024-03,15907232,0,0,15907232,3340518,19247750
El Marques,2024-04,16588080,0,0,16588080,3483497,20071577
El Marques,2024-05,17529115,0,0,17529115,3681114,21210229
El Marques,2024-06,30410021,0,0,30410021,6386105,36796126
El Marques,2024-07,18835540,0,0,18835540,3955464,22791004
El Marques,2024-08,21190951,0,0,21190951,4450100,25641051
El Marques,2024-09,23517416,0,0,23517416,4938658,28456074
El Marques,2024-10,22281985,0,0,22281985,4679217,26961202
El Marques,2024-11,23354508,0,0,23354508,4904446,28258954
El Marques,2024-12,23558544,0,0,23558544,4947294,28505838
El Marques,2025-01,24118413,0,0,24118413,5064867,29183280
